Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,4813,1,Müller,4813,1,Müller,4813,LU
2,Bucher,3816,2,Bucher,3816,2,Bucher,3816,LU
3,Meier,2787,3,Meier,2787,3,Meier,2787,LU
4,Schmid,2114,4,Schmid,2114,4,Schmid,2114,LU
5,Kaufmann,2106,5,Kaufmann,2106,5,Kaufmann,2106,LU
6,Fischer,1960,6,Fischer,1960,6,Fischer,1960,LU
7,Portmann,1906,7,Portmann,1906,7,Portmann,1906,LU
8,Bachmann,1766,8,Bachmann,1766,8,Bachmann,1766,LU
9,Häfliger,1725,9,Häfliger,1725,9,Häfliger,1725,LU
10,Huber,1715,10,Huber,1715,10,Huber,1715,LU
11,Bieri,1696,11,Bieri,1696,11,Bieri,1696,LU
12,Stadelmann,1651,12,Stadelmann,1651,12,Stadelmann,1651,LU
13,Arnold,1647,13,Arnold,1647,13,Arnold,1647,LU
14,Wicki,1630,14,Wicki,1630,14,Wicki,1630,LU
15,Meyer,1608,15,Meyer,1608,15,Meyer,1608,LU
16,Felder,1604,16,Felder,1604,16,Felder,1604,LU
17,Emmenegger,1598,17,Emmenegger,1598,17,Emmenegger,1598,LU
17,Koch,1598,17,Koch,1598,17,Koch,1598,LU
19,Zemp,1595,19,Zemp,1595,19,Zemp,1595,LU
20,Vogel,1555,20,Vogel,1555,20,Vogel,1555,LU
21,Stalder,1472,21,Stalder,1472,21,Stalder,1472,LU
22,Lustenberger,1448,22,Lustenberger,1448,22,Lustenberger,1448,LU
23,Birrer,1424,23,Birrer,1424,23,Birrer,1424,LU
24,Steiner,1348,24,Steiner,1348,24,Steiner,1348,LU
25,Bühler,1320,25,Bühler,1320,25,Bühler,1320,LU
26,Zimmermann,1267,26,Zimmermann,1267,26,Zimmermann,1267,LU
27,Brunner,1246,27,Brunner,1246,27,Brunner,1246,LU
28,Amrein,1242,28,Amrein,1242,28,Amrein,1242,LU
29,Lötscher,1219,29,Lötscher,1219,29,Lötscher,1219,LU
30,Burri,1178,30,Burri,1178,30,Burri,1178,LU
31,Bühlmann,1139,31,Bühlmann,1139,31,Bühlmann,1139,LU
31,Furrer,1139,31,Furrer,1139,31,Furrer,1139,LU
33,Wyss,1134,33,Wyss,1134,33,Wyss,1134,LU
34,Bättig,1131,34,Bättig,1131,34,Bättig,1131,LU
35,Erni,1109,35,Erni,1109,35,Erni,1109,LU
35,Kunz,1109,35,Kunz,1109,35,Kunz,1109,LU
37,Renggli,1094,37,Renggli,1094,37,Renggli,1094,LU
38,Egli,1090,38,Egli,1090,38,Egli,1090,LU
39,Hodel,1077,39,Hodel,1077,39,Hodel,1077,LU
40,Achermann,1045,40,Achermann,1045,40,Achermann,1045,LU
41,Peter,1044,41,Peter,1044,41,Peter,1044,LU
42,Lang,1040,42,Lang,1040,42,Lang,1040,LU
43,Kurmann,1039,43,Kurmann,1039,43,Kurmann,1039,LU
44,Studer,1024,44,Studer,1024,44,Studer,1024,LU
45,Krummenacher,1003,45,Krummenacher,1003,45,Krummenacher,1003,LU
46,Roos,960,46,Roos,960,46,Roos,960,LU
47,Fuchs,957,47,Fuchs,957,47,Fuchs,957,LU
47,Weber,957,47,Weber,957,47,Weber,957,LU
49,Muff,956,49,Muff,956,49,Muff,956,LU
50,Widmer,944,50,Widmer,944,50,Widmer,944,LU
51,Aregger,943,51,Aregger,943,51,Aregger,943,LU
52,Grüter,938,52,Grüter,938,52,Grüter,938,LU
53,Zihlmann,935,53,Zihlmann,935,53,Zihlmann,935,LU
54,Odermatt,931,54,Odermatt,931,54,Odermatt,931,LU
55,Brun,923,55,Brun,923,55,Brun,923,LU
56,Stocker,906,56,Stocker,906,56,Stocker,906,LU
57,Christen,888,57,Christen,888,57,Christen,888,LU
58,Hofstetter,859,58,Hofstetter,859,58,Hofstetter,859,LU
59,Duss,852,59,Duss,852,59,Duss,852,LU
60,Schumacher,843,60,Schumacher,843,60,Schumacher,843,LU
61,Marti,830,61,Marti,830,61,Marti,830,LU
62,Blum,824,62,Blum,824,62,Blum,824,LU
63,Haas,816,63,Haas,816,63,Haas,816,LU
64,Keller,808,64,Keller,808,64,Keller,808,LU
65,Krasniqi,799,65,Krasniqi,799,65,Krasniqi,799,LU
66,Schärli,786,66,Schärli,786,66,Schärli,786,LU
67,Stöckli,775,67,Stöckli,775,67,Stöckli,775,LU
68,Graf,743,68,Graf,743,68,Graf,743,LU
69,Steinmann,728,69,Steinmann,728,69,Steinmann,728,LU
70,Suter,724,70,Suter,724,70,Suter,724,LU
71,Koller,722,71,Koller,722,71,Koller,722,LU
72,Küng,718,72,Küng,718,72,Küng,718,LU
73,Estermann,716,73,Estermann,716,73,Estermann,716,LU
74,Niederberger,714,74,Niederberger,714,74,Niederberger,714,LU
75,Schwegler,712,75,Schwegler,712,75,Schwegler,712,LU
76,Ineichen,710,76,Ineichen,710,76,Ineichen,710,LU
77,Bucheli,704,77,Bucheli,704,77,Bucheli,704,LU
78,Frei,699,78,Frei,699,78,Frei,699,LU
78,Wigger,699,78,Wigger,699,78,Wigger,699,LU
80,Berisha,696,80,Berisha,696,80,Berisha,696,LU
81,Sidler,695,81,Sidler,695,81,Sidler,695,LU
82,Limacher,690,82,Limacher,690,82,Limacher,690,LU
83,Sigrist,689,83,Sigrist,689,83,Sigrist,689,LU
83,Stirnimann,689,83,Stirnimann,689,83,Stirnimann,689,LU
85,Baumann,672,85,Baumann,672,85,Baumann,672,LU
86,Roth,670,86,Roth,670,86,Roth,670,LU
87,Troxler,664,87,Troxler,664,87,Troxler,664,LU
88,Rölli,662,88,Rölli,662,88,Rölli,662,LU
89,Wüest,629,89,Wüest,629,89,Wüest,629,LU
90,Unternährer,626,90,Unternährer,626,90,Unternährer,626,LU
91,Hunkeler,625,91,Hunkeler,625,91,Hunkeler,625,LU
92,Gut,622,92,Gut,622,92,Gut,622,LU
93,Albisser,620,93,Albisser,620,93,Albisser,620,LU
94,Baumgartner,619,94,Baumgartner,619,94,Baumgartner,619,LU
95,Helfenstein,618,95,Helfenstein,618,95,Helfenstein,618,LU
96,Felber,612,96,Felber,612,96,Felber,612,LU
97,Gisler,606,97,Gisler,606,97,Gisler,606,LU
98,Steffen,604,98,Steffen,604,98,Steffen,604,LU
99,Röösli,603,99,Röösli,603,99,Röösli,603,LU
100,Schöpfer,599,100,Schöpfer,599,100,Schöpfer,599,LU
